device,datetime,co2,no_people
Aranet4 25247,2024-06-17 06:02:15,359.0,0.0
Aranet4 25247,2024-06-17 06:07:15,360.0,15.196666666666667
Aranet4 25247,2024-06-17 06:12:15,354.0,12.443333333333333
Aranet4 25247,2024-06-17 06:17:15,361.0,18.39666666666667
Aranet4 25247,2024-06-17 06:22:15,358.0,17.14
Aranet4 25247,2024-06-17 06:27:15,352.0,14.14
Aranet4 25247,2024-06-17 06:32:15,367.0,14.643333333333333
Aranet4 25247,2024-06-17 06:37:15,358.0,18.36
Aranet4 25247,2024-06-17 06:42:15,363.0,19.71
Aranet4 25247,2024-06-17 06:47:15,365.0,23.043333333333333
Aranet4 25247,2024-06-17 06:52:15,371.0,31.376666666666665
Aranet4 25247,2024-06-17 06:57:15,375.0,42.373333333333335
Aranet4 25247,2024-06-17 07:02:15,382.0,47.50333333333333
Aranet4 25247,2024-06-17 07:07:15,383.0,53.02333333333333
Aranet4 25247,2024-06-17 07:12:15,380.0,65.37666666666667
Aranet4 25247,2024-06-17 07:17:15,380.0,66.54666666666667
Aranet4 25247,2024-06-17 07:22:15,374.0,66.37333333333333
Aranet4 25247,2024-06-17 07:27:15,392.0,64.74333333333334
Aranet4 25247,2024-06-17 07:32:15,390.0,71.78666666666666
Aranet4 25247,2024-06-17 07:37:15,383.0,75.33666666666667
Aranet4 25247,2024-06-17 07:42:15,384.0,78.84
Aranet4 25247,2024-06-17 07:47:15,387.0,87.55
Aranet4 25247,2024-06-17 07:52:15,407.0,89.81333333333333
Aranet4 25247,2024-06-17 07:57:15,415.0,110.32333333333334
Aranet4 25247,2024-06-17 08:02:15,424.0,120.06
Aranet4 25247,2024-06-17 08:07:15,427.0,121.44333333333333
Aranet4 25247,2024-06-17 08:12:15,424.0,126.20666666666666
Aranet4 25247,2024-06-17 08:17:15,424.0,130.72333333333333
Aranet4 25247,2024-06-17 08:22:15,439.0,126.11
Aranet4 25247,2024-06-17 08:27:15,445.0,135.65
Aranet4 25247,2024-06-17 08:32:15,464.0,155.98333333333332
Aranet4 25247,2024-06-17 08:37:15,435.0,159.39666666666668
Aranet4 25247,2024-06-17 08:42:15,426.0,157.68333333333334
Aranet4 25247,2024-06-17 08:47:15,467.0,173.38
Aranet4 25247,2024-06-17 08:52:15,485.0,178.82
Aranet4 25247,2024-06-17 08:57:15,448.0,163.28
Aranet4 25247,2024-06-17 09:02:15,415.0,147.11333333333334
Aranet4 25247,2024-06-17 09:07:15,450.0,157.99333333333334
Aranet4 25247,2024-06-17 09:12:15,450.0,174.61666666666667
Aranet4 25247,2024-06-17 09:17:15,444.0,184.47
Aranet4 25247,2024-06-17 09:22:15,461.0,182.03666666666666
Aranet4 25247,2024-06-17 09:27:15,494.0,191.12
Aranet4 25247,2024-06-17 09:32:15,475.0,209.01666666666668
Aranet4 25247,2024-06-17 09:37:15,479.0,200.32
Aranet4 25247,2024-06-17 09:42:15,471.0,195.98333333333332
Aranet4 25247,2024-06-17 09:47:15,439.0,190.52666666666667
Aranet4 25247,2024-06-17 09:52:15,445.0,177.30333333333334
Aranet4 25247,2024-06-17 09:57:15,514.0,178.93
Aranet4 25247,2024-06-17 10:02:15,484.0,183.45666666666668
Aranet4 25247,2024-06-17 10:07:15,441.0,192.32666666666665
Aranet4 25247,2024-06-17 10:12:15,475.0,187.20333333333335
Aranet4 25247,2024-06-17 10:17:15,446.0,192.45666666666668
Aranet4 25247,2024-06-17 10:22:15,419.0,186.50666666666666
Aranet4 25247,2024-06-17 10:27:15,512.0,203.19666666666666
Aranet4 25247,2024-06-17 10:32:15,524.0,196.27
Aranet4 25247,2024-06-17 10:37:15,554.0,193.16
Aranet4 25247,2024-06-17 10:42:15,558.0,194.48
Aranet4 25247,2024-06-17 10:47:15,586.0,182.31666666666666
Aranet4 25247,2024-06-17 10:52:15,590.0,188.37
Aranet4 25247,2024-06-17 10:57:15,678.0,209.98
Aranet4 25247,2024-06-17 11:02:15,792.0,207.79
Aranet4 25247,2024-06-17 11:07:15,795.0,208.64333333333335
Aranet4 25247,2024-06-17 11:12:15,382.0,220.04
Aranet4 25247,2024-06-17 11:17:15,409.0,227.70333333333335
Aranet4 25247,2024-06-17 11:22:15,377.0,217.40666666666667
Aranet4 25247,2024-06-17 11:27:15,404.0,203.53666666666666
Aranet4 25247,2024-06-17 11:32:15,471.0,190.19
Aranet4 25247,2024-06-17 11:37:15,370.0,186.46
Aranet4 25247,2024-06-17 11:42:15,412.0,167.52333333333334
Aranet4 25247,2024-06-17 11:47:15,384.0,170.70333333333335
Aranet4 25247,2024-06-17 11:52:15,461.0,171.95666666666668
Aranet4 25247,2024-06-17 11:57:15,390.0,169.80333333333334
Aranet4 25247,2024-06-17 12:02:15,376.0,174.69666666666666
Aranet4 25247,2024-06-17 12:07:15,382.0,188.47333333333333
Aranet4 25247,2024-06-17 12:12:15,478.0,187.94333333333333
Aranet4 25247,2024-06-17 12:17:15,370.0,177.12
Aranet4 25247,2024-06-17 12:22:15,435.0,171.06
Aranet4 25247,2024-06-17 12:27:15,405.0,175.77666666666667
Aranet4 25247,2024-06-17 12:32:15,383.0,181.63333333333333
Aranet4 25247,2024-06-17 12:37:15,375.0,190.97
Aranet4 25247,2024-06-17 12:42:15,377.0,199.93333333333334
Aranet4 25247,2024-06-17 12:47:15,383.0,181.82333333333332
Aranet4 25247,2024-06-17 12:52:15,377.0,158.03
Aranet4 25247,2024-06-17 12:57:15,384.0,147.46333333333334
Aranet4 25247,2024-06-17 13:02:15,366.0,156.54
Aranet4 25247,2024-06-17 13:07:15,375.0,161.70666666666668
Aranet4 25247,2024-06-17 13:12:15,384.0,151.54
Aranet4 25247,2024-06-17 13:17:15,374.0,159.95
Aranet4 25247,2024-06-17 13:22:15,376.0,140.62666666666667
Aranet4 25247,2024-06-17 13:27:15,366.0,144.19
Aranet4 25247,2024-06-17 13:32:15,363.0,128.56666666666666
Aranet4 25247,2024-06-17 13:37:15,348.0,118.01
Aranet4 25247,2024-06-17 13:42:15,344.0,124.75
Aranet4 25247,2024-06-17 13:47:15,369.0,131.90666666666667
Aranet4 25247,2024-06-17 13:52:15,367.0,127.3
Aranet4 25247,2024-06-17 13:57:15,357.0,132.69666666666666
Aranet4 25247,2024-06-17 14:02:15,364.0,121.44666666666667
Aranet4 25247,2024-06-17 14:07:15,382.0,122.12666666666667
Aranet4 25247,2024-06-17 14:12:15,375.0,118.21333333333334
Aranet4 25247,2024-06-17 14:17:15,387.0,125.12
Aranet4 25247,2024-06-17 14:22:15,472.0,123.14666666666666
Aranet4 25247,2024-06-17 14:27:15,508.0,116.24666666666667
Aranet4 25247,2024-06-17 14:32:15,436.0,115.42333333333333
Aranet4 25247,2024-06-17 14:37:15,524.0,116.52
Aranet4 25247,2024-06-17 14:42:15,446.0,116.45666666666666
Aranet4 25247,2024-06-17 14:47:15,376.0,113.31333333333333
Aranet4 25247,2024-06-17 14:52:15,356.0,100.04666666666667
Aranet4 25247,2024-06-17 14:57:15,369.0,110.24
Aranet4 25247,2024-06-17 15:02:15,381.0,110.95666666666666
Aranet4 25247,2024-06-17 15:07:15,387.0,110.89
Aranet4 25247,2024-06-17 15:12:15,362.0,106.32333333333334
Aranet4 25247,2024-06-17 15:17:15,356.0,106.69333333333333
Aranet4 25247,2024-06-17 15:22:15,360.0,100.92
Aranet4 25247,2024-06-17 15:27:15,375.0,96.52666666666667
